nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,biography,birthday,deathday,tmdb_id,known_for_department,place_of_birth,popularity,profile_photo
nm0156228,Patrick Chesnais,1946.0,,"actor,director,writer","tt0401383,tt2379318,tt0119923,tt0095511","Patrick Chesnais (born 18 March 1947) is a French actor, film director and screenwriter.

Patrick Chesnais was born in La Garenne-Colombes, Hauts-de-Seine. He was educated at the Lycée Pierre Corneille in Rouen. In 1989, he won the César Award for Best Actor in a Supporting Role for his performance in the film La Lectrice directed by Michel Deville. In 1994, he starred in Harold Pinter's Le Retour, and in 1992, in La Belle Histoire by Claude Lelouch. He starred in Hany Tamba's Melodrama Habibi in 2008.

He is married to fellow actor Josiane Stoléru.

Source: Article ""Patrick Chesnais"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1947-03-18,,7275.0,Acting,"La Garenne-Colombes, Hauts-de-Seine, France",1.9473,https://image.tmdb.org/t/p/w500//g0eY9xGHUCIZBJj0QfxNnZQcH98.jpg
nm0156660,Martine Chevallier,1949.0,,actress,"tt9845110,tt0362225,tt0276709,tt0412531","Martine Chevallier (born 1949) is a French actress.

Description above from the Wikipedia article Martine Chevallier, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1949-05-10,,115272.0,Acting,"Gap, Hautes-Alpes, France",0.6175,https://image.tmdb.org/t/p/w500//53l832In4snqjvJHUf2AEOgHO9f.jpg
nm0156737,Maurice Chevit,1923.0,2012.0,"actor,writer,miscellaneous","tt0100112,tt0194680,tt0167644,tt0170910","Maurice Chevit (31 October 1923 – 2 July 2012) was a French actor.

Maurice Chevit made his theatrical début just after the Second World War, and made his first screen appearance in 1946 in René Clément's film Le Père tranquille. In August 1950, the Theatre de la Huchette in Paris presented Pepita ou Cinq cents francs de bonheur, a three-act comedy that Chevit co-wrote with Henri Fontenille; Chevit himself appeared in it, playing alongside Jacqueline Maillan, Pierre Mondy and Jacques Jouanneau. He was seen in many small film roles during the 1950s and 1960s, working with producers such as Henri Decoin and André Cayatte, but he was best known as a stage actor.

Source: Article ""Maurice Chevit"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1923-10-31,2012-07-02,68722.0,Acting,"Paris, France",0.9637,https://image.tmdb.org/t/p/w500//voX6qQGS1CVbVMBQrRODZq62Gkw.jpg
nm0156748,Hugolin Chevrette-Landesque,,,"actor,writer","tt1424797,tt0385878,tt0479647,tt0220955","Hugolin Chevrette is a Canadian actor specialized in dubbing. He is the French-Canadian voice of Tobey Maguire, Justin Long, Jesse Eisenberg and many more. He is also the son of actress France Chevrette (1956 - 2018).",1977-08-18,,1152768.0,Acting,"Montréal, Québec, Canada",0.834,https://image.tmdb.org/t/p/w500//ocOda4i2JQ7efSYA7jaXcl1cutl.jpg
nm0157185,Bruno Chiche,1966.0,,"director,writer,actor","tt0241818,tt6096500,tt0267044,tt0457936",Inconnu,1966-08-07,,20085.0,Directing,France,0.4764,https://image.tmdb.org/t/p/w500//uvsatdsBqcV1KrvNT7SgupwUt4H.jpg
nm0157255,Etienne Chicot,1949.0,2018.0,"actor,composer,writer","tt0382625,tt0800241,tt0095793,tt1235552",Inconnu,1949-05-05,2018-08-07,150792.0,Acting,"Fécamp, Seine-Maritime, France",1.4538,https://image.tmdb.org/t/p/w500//nZaZ6L1Grd5LVXUGCC4ABuEKZvZ.jpg
nm0157323,Beppe Chierici,1937.0,,"actor,writer","tt0133385,tt0338608,tt0115274,tt0088637",Inconnu,1937-04-28,,135877.0,Acting,"Cuneo, Italy",0.7002,https://image.tmdb.org/t/p/w500//8shkRbmOChIu6WLXwRKdObgVI5N.jpg
nm0157352,Yvan Chiffre,1936.0,2016.0,"actor,stunts,writer","tt0065234,tt0244727,tt0065531,tt0072722","Yvan Chiffre (3 March 1936 – 27 September 2016) was a French director, producer, and stunt coordinator. He is the father of Philippe Chiffre, Romain Chiffre and the grand father of César Chiffre.

He was the stunt coordinator of Thunderball and Triple Cross by Terence Young, Is Paris Burning? by René Clément, Z by Costa Gavras, Hotel Paradiso by Peter Glenville.

He was also the official stunt double of Jean Marais and Alain Delon, was stunt man on the Longest Day, and stunt double of Cary Grant in Charade, Sterling Hayden in Poppies Are Also Flowers, Eddie Constantine in Lucky Jo and many others...

He also contributed to major French films like Zorro by Duccio Tessari, La Grande Vadrouille by Gérard Oury, Le Cercle Rouge by Jean-Pierre Melville, and more than 200 others.

In 1992, he published an autobiography A l'ombre des stars, about his stuntman life.

In 2014, he received in Paris the UNESCO prize.

In 2017, the Academy Award, Oscars In Memoriam honors Yvan Chiffre for his life achievement.

Source: Article ""Yvan Chiffre"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1936-03-03,2016-09-27,251203.0,Acting,"Rousson, Gard, France",0.551,https://image.tmdb.org/t/p/w500//wDZxUB5YHm8PGmoIBrwmkKXndfq.jpg
nm0158857,Tsai Ming-liang,1957.0,,"director,writer,producer","tt0103935,tt0156610,tt11697820,tt0269746","Tsai Ming-liang (Chinese: 蔡 明亮, Pinyin: Cài Míngliàng; born October 27, 1957) is a Malaysian-Taiwanese filmmaker. He has written and directed 10 feature films and has also directed many short films and television films. Tsai is one of the most celebrated ""Second New Wave"" film directors of Taiwanese cinema. His films have been acclaimed worldwide and have won numerous film festival awards.",1957-10-27,,71174.0,Directing,"Kuching, Sarawak, Malaysia",1.1941,https://image.tmdb.org/t/p/w500//ceVmDE537vnoxiGmkoNOf5srJWr.jpg
nm0158898,Yannick Choirat,,,"actor,writer","tt13964390,tt2053425,tt2927648,tt29610108",Inconnu,1974-08-31,,1123785.0,Acting,"Chambéry, Savoie, France",0.9899,https://image.tmdb.org/t/p/w500//e731ITPWEOjD1xY4TH6VvO8qY7v.jpg
nm0158956,Nicole Chollet,1914.0,2003.0,actress,"tt0100747,tt0276707,tt0056846,tt0204181",Inconnu,1914-10-19,2003-10-13,72001.0,Acting,"Paris, Ile-de-France, France",0.4177,https://image.tmdb.org/t/p/w500//e8TxWKwRQ3WDN7npH4Rz0hF02Zs.jpg
nm0158984,Sylvain Chomet,1963.0,,"director,writer,animation_department","tt0286244,tt0775489,tt0401711,tt0127710","Sylvain Chomet (born 1963) is a French comic writer, animator and film director.

Description above from the Wikipedia article Sylvain Chomet, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1963-11-10,,21768.0,Directing,"Maison Laffitte, Yvelines, France",1.0741,https://image.tmdb.org/t/p/w500//hi5lgXJVDlw5oL8BVjdNur3hTNS.jpg
nm0159129,Farid Chopel,1952.0,2008.0,"actor,writer,archive_footage","tt0086852,tt1334288,tt0093275,tt0085528",Inconnu,1952-12-04,2008-04-20,70427.0,Acting,"Paris, France",0.6818,https://image.tmdb.org/t/p/w500//rvRxRJo6bBT2vO6abg5e5YUpHvo.jpg
nm0159262,Pierre Chosson,1959.0,,"writer,director,miscellaneous","tt2891070,tt0281830,tt1747958,tt0400626",Inconnu,1959-08-01,,55816.0,Writing,Inconnu,0.9282,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0159410,Hocine Choutri,,,"actor,writer,production_manager","tt3331514,tt1946298,tt28129282,tt1149399",Inconnu,1963-01-01,,1160281.0,Acting,Inconnu,0.2282,https://image.tmdb.org/t/p/w500//v9El545S4ULPSRUDAHrCX3JARkj.jpg
nm0160108,Christian-Jaque,1904.0,1994.0,"director,writer,production_designer","tt0044602,tt0049703,tt0029394,tt0039061","Christian-Jaque (byname of Christian Maudet; 4 September 1904 – 8 July 1994) was a French filmmaker. From 1954 to 1959, he was married to actress Martine Carol, who starred in several of his films, including Lucrèce Borgia (1953), Madame du Barry (1954), and Nana (1955).",1904-09-04,1994-07-08,48995.0,Directing,"Paris, France",1.3617,https://image.tmdb.org/t/p/w500//szgzofPkIMXXfAyH0fj57Qga7x4.jpg
nm0160532,Françoise Christophe,1923.0,2012.0,"actress,miscellaneous,archive_footage","tt0055549,tt0220273,tt0051679,tt4165650",Inconnu,1923-01-03,2012-01-08,24751.0,Acting,"Paris, France",1.3432,https://image.tmdb.org/t/p/w500//9KRHa5fWVs3TCXTVSSi9UJy1yRK.jpg
nm0161765,Julien Ciamaca,1978.0,,actor,"tt0099266,tt0099669,tt0375439",Inconnu,1978-05-04,,73715.0,Acting,"Arles, Bouches-du-Rhône, France",0.1527,https://image.tmdb.org/t/p/w500//4rOPFUa53Y9ilFugHpWm7votSA.jpg
nm0162791,Jacques Ciron,1928.0,2022.0,"actor,miscellaneous,soundtrack","tt0095174,tt0096332,tt0098238,tt0156200","Jacques Ciron (17 May 1928 – 7 December 2022) was a French actor.

Ciron was born in the 17th arrondissement of Paris on 17 May 1928. After gaining recognition for his looks and his voice, he became very popular in cinema and boulevard theatre, particularly in the program Au théâtre ce soir. He was also very active in dubbing, lending his voice to several animated Disney films, as well as to the character Alfred Pennyworth in several live-action Batman films. He also lent his voice to the evil clown It in the miniseries of the same name.

Ciron died in the 20th arrondissement of Paris on 7 December 2022, at the age of 94.

Source: Article ""Jacques Ciron"" from Wikipedia in English, licensed under CC-BY-SA.",1928-05-17,2022-12-07,185316.0,Acting,"Paris, France",0.7829,https://image.tmdb.org/t/p/w500//6iz4j7VQ0STE89PDN5yuRVMuNYW.jpg
nm0162947,Christine Citti,1962.0,,"actress,director,writer","tt0464828,tt0473829,tt0166927,tt0108008",Inconnu,1962-10-26,,55803.0,Acting,"Paris, France",1.407,https://image.tmdb.org/t/p/w500//fdrGqCL95GEYD5Vtf3AzXAJi1Sy.jpg
nm0162950,Marc Citti,1966.0,,"actor,composer","tt1429534,tt6917064,tt1828995,tt0110963",Inconnu,1966-09-09,,239639.0,Acting,"Issy-les-Moulineaux, Hauts-de-Seine, France",1.0466,https://image.tmdb.org/t/p/w500//2JBiL4zPNzv0b2DxqZcE4B3UaYU.jpg
nm0163229,René Clair,1898.0,1981.0,"writer,director,producer","tt0039823,tt0044409,tt0022599,tt0048133","René Clair was a French filmmaker and writer. He first established his reputation in the 1920s as a director of silent films in which comedy was often mingled with fantasy. He went on to make some of the most innovative early sound films in France, before going abroad to work in the UK and USA for more than a decade. Returning to France after World War II, he continued to make films that were characterised by their elegance and wit, often presenting a nostalgic view of French life in earlier years. He was elected to the Académie française in 1960. Clair's best known films include The Italian Straw Hat (1928), Under the Roofs of Paris (1930), Le Million (1931), À nous la liberté (1931), I Married a Witch (1942), and And Then There Were None (1945).

In 1924, while Clair was working on Ciné-sketch for the theatre with France Picabia, he first met a young actress, Bronja Perlmutter, who subsequently appeared in his film Le Voyage imaginaire (1926) premiered at the newly opened Studio des Ursulines. They married in 1926, and their son, Jean-François, was born in 1927. 

René Clair died at home on 15 March 1981, and he was buried privately at Saint-Germain-l'Auxerrois.

Clair's reputation as a film-maker underwent a considerable reevaluation during the course of his own lifetime: in the 1930s he was widely seen as one of France's greatest directors, alongside Renoir and Carné, but thereafter his work's artifice and detachment from the realities of life fell increasingly from favour. The avant-gardism of his first films, and especially Entr'acte, had given him a temporary notoriety, and a grounding in surrealism continued to underlie much of his comedy work. It was however the imaginative manner in which he overcame his initial scepticism about the arrival of sound which established his originality, and his first four sound films brought him international fame.

Clair's years of working in the UK and USA made him still more widely known but did not show any marked development in his style or thematic concerns. It was in the post-war films that he made on his return to France that some critics have observed a new maturity and emotional depth, accompanied by a prevailing sense of melancholy but still framed by the elegance and wit that characterised his earlier work.

However, in the 1950s the critics who heralded the arrival of the French New Wave, especially those associated with Cahiers du Cinéma, found Clair's work old-fashioned and academic. The paradox of Clair's reputation has been further heightened by those commentators who have seen François Truffaut as the French cinema's true successor to Clair, notwithstanding the occasions of their mutual disdain.",1898-11-11,1981-03-15,33166.0,Directing,"Paris, France",2.13,https://image.tmdb.org/t/p/w500//m6pYOo5Yp2N4i6egvVFXYOnmS82.jpg
nm0165401,Garance Clavel,1973.0,,actress,"tt0115856,tt0229636,tt0110469,tt0288276",Inconnu,1973-04-11,,71776.0,Acting,Inconnu,0.4201,https://image.tmdb.org/t/p/w500//s8g302biTNa1ESAFVX8iLpldsiR.jpg
nm0165404,Maurice Clavel,1920.0,1979.0,"writer,director,actor","tt0156797,tt0067397,tt0165700,tt0048946","Maurice Clavel (1920-1979) was a French writer, journalist, and philosopher.

Maurice Clavel was born on 10 November 1920 in Frontignan, Hérault to a family headed by a father who was a pharmacist. This conservative milieu of small shopkeepers in Languedoc led him to be an activist in the French Popular Party (FPP) in his hometown of Frontignan.

A brilliant pupil, he got into the prestigious École Normale Supérieure in the Rue d'Ulm in Paris. There he became acquainted with Trotskyist Jean-Toussaint Desanti and Maurrassian Pierre Boutang. The latter, having been appointed in the Secretariat of Public Instruction, invited him to serve by his side under Marshal Philippe Pétain. Having just gotten his certificate of morale and sociology in Montpellier, Maurice Clavel accepted but was soon disillusioned. While preparing a thesis on Immanuel Kant, he then joined the Résistance (1942). As head the French Forces of the Interior of Eure-et-Loir, he took part in the liberation of Chartres where he greeted General Charles de Gaulle on the cathedral's forecourt.

At the Libération, he denounced the blind epuration and tried to save the heads of Robert Brasillach and Drieu La Rochelle. That did not prevent him from being a fervent activist in the Rally of the French People (RPF) whose acerbic criticism of communism got him to be accused by the French Communist Party (PCF) of being ""Goebbels' voice"". He then founded with Henri d'Astier de La Vigerie and André Figueras a newspaper called L'Essor. Meanwhile, he wrote plays directed by Jean Vilar like Les Incendiaires (The Incendiaries) in 1947 or La Terrasse de midi (The Noon Terrace) in 1949. But those failed, and as he was torn apart after breaking his relationship with the actor Silvia Monfort, Clavel accepted a professor tenure in the Carnot high school in Dijon.

Barely liked by his superiors, he soon got back to theatrical works when, in 1951, Jean Vilar appointed him as secretary-general of the Théâtre National Populaire. But his new play Malsameda (1954) as well as his first novel Une fille pour l'été (A Girl for the Summer, 1955) turned out to be failures too.

From 1955, Clavel started his career as a journalist writing in Combat. Protesting, among other things, against the invasion of Hungary by Soviet tanks in 1956, and the use of torture in Algeria, he got involved with left-wing Gaullists in the Democratic Union of Labour in 1959. Meanwhile, he went back to teaching as philosophy professor in Camille Sée and Buffon high school in Paris, from 1960 to 1963. With Emmanuel Berl, he presented a daily radio programme Qui êtes-vous? (Who are you?). But after the refusal by managers of the radio station to grant Jean Daniel a right of reply about Algeria, he resigned. The following year, after publishing Le Temps de Chartres (The Times of Chartres), he ceased his regular contribution to Combat. However he kept supporting General De Gaulle's position on Algeria, who entrusted him to engage in a dialogue with Messali Hadj. ...

Source: Article ""Maurice Clavel"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1920-11-10,1979-04-23,35955.0,Writing,"Frontignan, Hérault, France",0.3731,https://image.tmdb.org/t/p/w500//4b3y5VJ02Xeq6Dh79ClcTkV5Jtn.jpg
nm0165429,Olivier Claverie,1959.0,,"actor,miscellaneous,location_management","tt0473753,tt11703710,tt1388815,tt0347330",Inconnu,1959-04-03,,7283.0,Acting,"Melun, Seine-et-Marne, France",1.0789,https://image.tmdb.org/t/p/w500//uqFTnA5hlD241knILOE4mBcwFnr.jpg
nm0165915,Yvonne Clech,1920.0,2010.0,"actress,archive_footage","tt0054494,tt0187553,tt0275822,tt0174429",Inconnu,1920-06-03,2010-02-25,25961.0,Acting,"Moustéru, Côtes-d'Armor, France",0.3795,https://image.tmdb.org/t/p/w500//26ukDqbtSK971vy0wR56GQdBkyf.jpg
nm0166432,René Clermont,1921.0,1994.0,"actor,miscellaneous,director","tt0045057,tt0275822,tt0171024,tt0167705","René Clermont (14 November 1921 – 24 October 1994) was a 20th-century French stage and film actor as well as a playwright.

Source: Article ""René Clermont"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1921-11-14,1994-10-24,1304793.0,Acting,"Dakar, Sénégal",0.5164,https://image.tmdb.org/t/p/w500//xvvae6rCJ2cstTw0PFr7hM05McJ.jpg
nm0166438,Laure de Clermont-Tonnerre,1983.0,,"actress,director,producer","tt5952594,tt3755218,tt2415182,tt0401383","Laure de Clermont-Tonnerre (born on July 26, 1983) is a French actress and director.",1983-07-26,,131827.0,Acting,"Paris, France",0.8849,https://image.tmdb.org/t/p/w500//7xbK9EcfsfhuFkKv6bH2WrOD894.jpg
nm0166447,Madeleine Clervanne,1897.0,1975.0,actress,"tt0070544,tt1369743,tt0275822,tt1473395",Inconnu,1897-01-17,1975-06-14,57491.0,Acting,"Hanoi, Vietnam",0.2095,https://image.tmdb.org/t/p/w500//waWB8ihtMCz90zymh7b619uhmtm.jpg
nm0166507,Harry Cleven,1956.0,,"actor,director,writer","tt0368375,tt0485947,tt0241841,tt5892354",Inconnu,1956-08-19,,1161618.0,Acting,"Liège, Belgique",0.4928,https://image.tmdb.org/t/p/w500//dYVRKzN9mSUMaE1UJx8FD9gUh5x.jpg
nm0166537,Jenny Clève,1930.0,2023.0,actress,"tt1064932,tt0104473,tt0080001,tt0086655",Inconnu,1930-04-03,2023-02-17,35902.0,Acting,"Roubaix, Nord, France",0.4938,https://image.tmdb.org/t/p/w500//kARTsNVnGqINNE6JN6WF1KmV4JI.jpg
nm0166706,Marino Masé,1939.0,2022.0,"actor,archive_footage","tt0057091,tt0082000,tt0084777,tt0099674","Marino Masé (born 21 March 1939) is an Italian actor. He has appeared in more than 70 films since 1961.

Masé was born in Trieste. While still a teenager, he joined the laboratory for young actors of the production company Vides by Franco Cristaldi and studied acting under Alessandro Fersen. He made his stage debut in 1960 in L'arialda, directed by Luchino Visconti, and his film debut in the 1961 adventure Romulus and the Sabines by Richard Pottier. He had several leading roles in the first half of the 1960s, including Marco Bellocchio's Fists in the Pocket and Jean-Luc Godard's Les Carabiniers, then he was mainly cast in supporting roles. Masé is also active in the adaptation of the dialogues for dubbing.

Description above from the Wikipedia article Marino Masé, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1939-03-21,2022-05-28,39151.0,Acting,"Triestre, Italy",1.8195,https://image.tmdb.org/t/p/w500//1rd8gmQnjvYFXjnrfYEpuOZzYUB.jpg
nm0167388,François Cluzet,1955.0,,"actor,soundtrack,archive_footage","tt1675434,tt0362225,tt0113117,tt0098238","François Cluzet (born 21 September 1955) is a French film and theatre actor, best known in the English-speaking world for starring in the 2006 French film ""Tell No One"", based on the novel of the same name by the American author Harlan Coben. He won the 2007 César Award for Best Actor for his role as Dr Alexander Beck in the film.

Description above from the Wikipedia article François Cluzet, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1955-09-21,,33161.0,Acting,"Paris, France",3.098,https://image.tmdb.org/t/p/w500//4ioxRGRJdSjItLxAQ2pp7byWkd3.jpg
nm0167467,Aurore Clément,1945.0,,"actress,soundtrack,archive_footage","tt0078788,tt0422720,tt0087884,tt2056771",Aurore Clément (born 12 October 1945) is a French actress who has appeared in French and English language movies and television productions.,1945-10-12,,9893.0,Acting,"Soissons, Aisne, France",2.2908,https://image.tmdb.org/t/p/w500//cFkUc4AUCdy82IpzPgMVeK3N1rc.jpg
nm0167473,Coralie Clément,1956.0,2002.0,actress,"tt0078549,tt0075939,tt0077689,tt0202300",Inconnu,,,97081.0,Acting,Inconnu,0.1354,https://image.tmdb.org/t/p/w500//xEePxUIvovbMNm7UPqyQYNXVlaj.jpg
nm0167474,Dominique Clément,1940.0,2012.0,actress,"tt0102368,tt0140450,tt0056514,tt0077175",Inconnu,1940-05-25,2012-06-09,2359067.0,Acting,"Paris, France",0.1519,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0167501,Suzanne Clément,1969.0,,"actress,director,writer","tt3612616,tt1650048,tt1424797,tt0813495","Suzanne Clement is a Canadian film and television actress, best known for her feature film roles in I Killed My Mother (2009), Laurence Anyways (2012), and Mommy (2014).",1969-05-12,,142689.0,Acting,"Montreal, Quebec, Canada",2.8834,https://image.tmdb.org/t/p/w500//efbTeMz860G91ob89tZ6mJBbNVr.jpg
nm0167515,Philippe Clévenot,1942.0,2001.0,"actor,archive_footage","tt0094828,tt0296742,tt0098226,tt0207479","Philippe Clévenot compte parmi les plus grands acteurs d’une génération qui, dans les années 1960-1970, se lançait dans l’aventure des créations collectives et entendait toucher un nouveau public, populaire, à l’instar de Jean Vilar ou d’Ariane Mnouchkine. De 1962 à 1965, il suit les cours du Centre dramatique de l'Est alors sous la direction d'Hubert Gignoux, Paul Lefèvre et Claude Petitpierre. Parallèlement, il continue l'étude de l'orgue, du clavecin et du piano. Après les deux années de son service militaire (1965-1967) pendant lesquelles il apprend l'allemand, il devient membre de la maison de la Culture deBourges, dirigée par Gabriel Monnet. En 1971, il participe aux débuts du Théâtre de l'Espérance avec Jean Jourdheuil etJean-Pierre Vincent, puis, en 1976, rejoint l’école du TNS (l'école supérieure d’art dramatique de Strasbourg) que dirige le même Jean-Pierre Vincent. De 1985 à 1987, il est pensionnaire à la Comédie-Française. Philippe Clévenot joue aussi bien le répertoire classique que le théâtre contemporain. Ainsi le voit-on dans Le Misanthropede Molière ou Macbeth de Shakespeare (deux mises en scène de Jean-Pierre Vincent) ; dans Le Prince de Hombourg deKleist (mise en scène de Matthias Langhoff), La Cruche cassée du même Kleist (mise en scène de Bernard Sobel) ; dansL'École des femmes de Molière (mise en scène de Bernard Sobel), Le Neveu de Rameau de Diderot (mise en scène de Jean-Marie Simon), dans Artaud Mômo ou la conférence du Vieux Colombier et Histoire vécue d'Artaud Mômo d'Antonin Artaud, où il interprète l'auteur, dans Un barrage contre le Pacifique de Marguerite Duras ou encore Dans la jungle des villesde Brecht (mise en scène de Stéphane Braunschweig), dans la Vie de l’égoïste Fätzer, du même Brecht (sous la direction de Bernard Sobel), dans Rumeur à Wall Street de Bernard Chatellier, d’après le Bartleby de Melville (mise en scène deBérangère Bonvoisin), ou bien Pionniers à Ingolstadt de Marieluise Fleisser. En tant que metteur en scène, on lui doit notamment Anna Christie d’Eugene O'Neill, à Genève, en 2000 — spectacle qui est repris au Théâtre Gérard Philipe, à Villeurbanne, en 2001. Par ailleurs, il a également écrit Celle qui ment, d'après la célèbre mystique italienne Angèle de Foligno. Son premier rôle au cinéma lui est offert par René Allio en 1970, dans Les Camisards. Il travaille ensuite avec de nombreux cinéastes, dont Bertrand Blier, Patrice Leconte ou encore Jean-Jacques Beineix. L’un de ses derniers films au cinéma estDisparus (1998), premier long métrage historique et politique d'un jeune réalisateur, Gilles Bourdos. Ayant toujours partagé son temps entre Paris et la Normandie, avec sa compagne la comédienne Bérangère Bonvoisin, Philippe Clévenot meurt à l’âge de cinquante-neuf ans, le 18 octobre 2001, des suites d’une longue maladie. Il repose au cimetière de Villerville.",1942-09-10,2001-10-18,548699.0,Acting,"Paris, France",0.6381,https://image.tmdb.org/t/p/w500//3mt0QOKLqHid3bwNUjcq02e5eos.jpg
nm0167995,David Coburn,1969.0,,"actor,miscellaneous,writer","tt2938956,tt0427969,tt0264935,tt2172934","David Coburn (born October 31, 1969) is an American actor, voice actor, and singer.

He is best known as the voice of Captain Planet in the TV series Captain Planet and the Planeteers. He has lived in Paris, France, since 2011. Coburn is not related to James Coburn, his co-star on Captain Planet.

From Wikipedia, the free encyclopedia",1969-10-31,,1192987.0,Acting,"Los Angeles, California, USA",1.4113,https://image.tmdb.org/t/p/w500//u0fRbSWugAjb7uQTW7AE0sCVy5Y.jpg
nm0168783,Anne Coesens,1968.0,,"actress,writer","tt1503777,tt3965866,tt1185231,tt7377132",Inconnu,1968-01-01,,19382.0,Acting,"Bruxelles, Belgique",1.2929,https://image.tmdb.org/t/p/w500//huFXG5Le7vNB7BCSqo1yn54iZa9.jpg
nm0168940,Anne-Marie Coffinet,1933.0,1984.0,actress,"tt0068959,tt1063369,tt0052136,tt0056917",Inconnu,1933-05-16,1984-03-26,28606.0,Acting,"Paris, France",0.6408,https://image.tmdb.org/t/p/w500//zKI1wnuVJorc7d1CAzkplrxZbfU.jpg
nm0169175,Alain Cohen,1958.0,,actor,"tt0075096,tt0063771,tt0065554,tt0119586",Inconnu,1958-01-10,,235545.0,Acting,Inconnu,0.2922,https://image.tmdb.org/t/p/w500//3EO80wZCzy6C31Dto5DZYQ9nIlv.jpg
nm0169300,Daniel Cohen,,,"actor,writer,director","tt1911553,tt0191617,tt0808230,tt10334410",Inconnu,1964-01-01,,77309.0,Acting,"Djerba, Tunisia",0.9924,https://image.tmdb.org/t/p/w500//lEIs0Szbe5P5yQkL50wJXVP7m5d.jpg
nm0169398,Gilles Cohen,1963.0,,"actor,soundtrack","tt1235166,tt0411270,tt4063800,tt2215221",Inconnu,1963-08-15,,17500.0,Acting,"Paris, France",1.1933,https://image.tmdb.org/t/p/w500//df8YyJdBcritBlohD9AEOQZDsPd.jpg
nm0169399,Gladys Cohen,1951.0,,"actress,archive_footage","tt1558741,tt3289126,tt1885331,tt1262877",Inconnu,1951-08-26,,83970.0,Acting,Inconnu,0.5056,https://image.tmdb.org/t/p/w500//ApZAMn5qFdzsXjhCnpNj2szpXhU.jpg
nm0169621,Michaël Cohen,1970.0,,"actor,writer,director","tt1591123,tt0465203,tt5080356,tt0362265",Inconnu,1970-12-13,,125412.0,Acting,"Maison Laffitte, Yvelines, France",1.5444,https://image.tmdb.org/t/p/w500//o1u4MM8Zn1erP77By8kgv10jLeO.jpg
nm0169848,Jérôme Cohen-Olivar,1964.0,,"writer,producer,director","tt3692082,tt1033483,tt0190322,tt3276944",Inconnu,,,1535649.0,Directing,Inconnu,0.752,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0170208,Daniel Colas,1947.0,,"actor,director,writer","tt0285970,tt0095576,tt0334025,tt12199580",Inconnu,1947-04-08,,101998.0,Directing,"Paris, France",0.175,https://image.tmdb.org/t/p/w500//ruAFVluupNYwziKYhvQHx0vHk9Z.jpg
nm0171494,Erik Colin,1947.0,2013.0,"actor,miscellaneous","tt0272982,tt0172057,tt0170986,tt0070356",Inconnu,1947-07-06,2013-11-15,24861.0,Acting,"Nantes, Loire-Atlantique, France",0.4591,https://image.tmdb.org/t/p/w500//vnH62ilUg0V7plBpO00vC0sfeei.jpg
nm0171499,Grégoire Colin,1975.0,,"actor,director,writer","tt2790230,tt1451394,tt0117221,tt2641648",Grégoire Colin is a French actor.,1975-07-25,,136170.0,Acting,"Châtenay-Malabry, Hauts-de-Seine, France",1.7357,https://image.tmdb.org/t/p/w500//jtolsceVVsMT1wWi8m8pdtaUE4f.jpg
nm0171772,Pierre Collet,1914.0,1977.0,"actor,miscellaneous,archive_footage","tt0065531,tt0067943,tt0061647,tt0058089","Pierre Collet (10 March 1914 – 30 October 1977) was a French film actor. He appeared in more than 100 films and television shows between 1943 and 1977.

Source: Article ""Pierre Collet"" from Wikipedia in English, licensed under CC-BY-SA.",1914-03-10,1977-10-30,37309.0,Acting,"Montrouge, Hauts-de-Seine, France",0.7572,https://image.tmdb.org/t/p/w500//vcSDh9EQfpWffHovUIXvbSBW9Ao.jpg
nm0171993,Dominique Maurin,1949.0,,"actor,miscellaneous,archive_footage","tt0048021,tt0266543,tt0095525,tt0048201",Inconnu,1949-04-01,,544716.0,Acting,"Toulouse, France",1.0786,https://image.tmdb.org/t/p/w500//sEJFsz9vMCljueHwpqVVpNfxa6k.jpg
nm0172989,Laetitia Colombani,1976.0,,"actress,writer,director","tt0291579,tt19894774,tt1213922,tt0442028",Inconnu,1976-01-01,,71307.0,Acting,"Bordeaux, Gironde, France",1.2642,https://image.tmdb.org/t/p/w500//4zfOlFnzwBd4I0kuDVNRDqBKLwu.jpg
nm0173212,Louisa Colpeyn,1918.0,2015.0,actress,"tt0057869,tt0275822,tt0174429,tt0139928","Louisa Colpeyn (24 February 1918 – 26 January 2015) was a Belgian actress. She appeared in more than thirty films from 1939 to 1983. Colpeyn is the mother of writer Patrick Modiano.

Source: Article ""Louisa Colpeyn"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1918-02-24,2015-01-26,582273.0,Acting,"Antwerp, Belgium",0.5299,https://image.tmdb.org/t/p/w500//4kDUsb6ikROLUKphqqG95llhpqy.jpg
